Name;Director;IMDB rating;Budget;metascore;Domestic Gross;Total Gross;Opening Gross;Oscar Nomination;Oscar won;Phase
Iron Man;Jon Favreau;7.9;$140,000,000;79;$318,604,126;$585,366,247;$98,618,668;2;0;1
The incredible Hulk;Louis Leterrier;6.6;$150,000,000;61;$134,806,913;$264,770,996;$55,414,050;0;0;1
Iron Man 2;Jon Favreau;7;$200,000,000;57;$312,433,331;$623,933,331;$128,122,480;1;0;1
Thor;Kenneth Branagh;7;$150,000,000;57;$181,030,624;$449,326,618;$65,723,338;0;0;1
Captain America: The first Avenger;Joe Jhonston;6.9;$140,000,000;66;$176,654,505;$370,569,774;$65,058,524;0;0;1
Marvel's the Avengers;Joss Whedon;8;$220,000,000;69;$623,357,910;$1,518,812,988;$207,438,708;1;0;1
Iron Man 3;Shane Black;7.1;$200,000,000;62;$408,992,272;$1,214,811,252;$174,144,585;1;0;2
Thor: The dark world;Alan Taylor;6.8;$170,000,000;54;$206,362,140;$644,783,140;$85,737,841;0;0;2
Captain America : The Winter Soldier;Anthony and Joe Russo;7.7;$170,000,000;70;$259,746,958;$714,421,503;$95,023,721;1;0;2
Guardians Of the Galaxy;James Gunn;8;$170,000,000;76;$333,714,112;$772,776,600;$94,320,883;2;0;2
Avengers : Age of ultron;Joss Whedon;7.3;$250,000,000;66;$459,005,868;$1,402,805,868;$191,271,109;0;0;2
Ant-Man;Peyton Reed;7.3;$130,000,000;64;$180,202,163;$519,311,965;$57,225,526;0;0;2
Captain America: Civil War;Anthony and Joe Russo;7.8;$250,000,000;75;$408,084,349;$1,153,296,293;$179,139,142;0;0;3
Doctor Strange ;Scott Derrickson;7.5;$165,000,000;72;$232,641,920;$677,718,395;$85,058,311;1;0;3
Guardians of the Galaxy Vol. 2;James Gunn;7.6;$200,000,000;67;$389,813,101;$863,756,051;$146,510,104;1;0;3
Spider-Man:Homecoming;Jon Watts;7.4;$175,000,000;73;$334,201,140;$880,166,924;$117,027,503;0;0;3
Thor:Ragnarok;Taika Waititi;7.9;$180,000,000;74;$315,058,28;$853,977,126;$122,744,989;0;0;3
Black Panther;Ryan Coogler;7.3;$200,000,000;88;$700,059,56;$1,346,913,161;$202,003,951;7;3;3
Avengers: Infinity War;Anthony and Joe Russo;8.4;$300,000,000;68;$678,815,482;$2,048,359,754;$257,698,183;1;0;3
Ant-Man and the Wasp;Peyton Reed;7;$130,000,000;70;$216,648,740;$622,674,139;$75,812,205;0;0;3
Captain-Marvel;Anna Boden and Ryan Fleck;6.8;$160,000,000;64;$426,829,839;$1,128,274,794;$153,433,423;0;0;3
Avengers:Endgame;Anthony and Joe Russo;8.4;$356,000,000;78;$858,373,000;$2,797,501,328;$357,115,007;1;0;3
Spider-Man:Far From Home;Jon Watts;7.5;$160,000,000;69;$390,532,085;$1,131,927,996;$92,579,212;0;0;3
